address,price,options,price_m2
"SMLN ML Trecho 7, LAGO NORTE, BRASILIA",5.390.000,"['Venda Casa 1440 m²', '9 Quartos', '8 Suítes', '10 Vagas']",3.743
"SHIN QI 4, LAGO NORTE, BRASILIA",3.200.000,"['Venda Casa 533 m²', '5 Quartos', '5 Suítes', '4 Vagas']",6.002
"SQNW 302 Bloco E Noroeste, Brasilia",A partir de 1.195.854,"[' Apartamento 90 a 268 m²', '2 a 3 quartos', 'Em Construção', '6 plantas']",
"SQNW 109 Bloco J, NOROESTE, BRASILIA",1.607.875,"['Venda Apartamento 109 m²', '3 Quartos', '2 Suítes', '2 Vagas']",14.710
"SQNW 106, NOROESTE, BRASILIA",2.461.222,"['Venda Apartamento 224 m²', '4 Quartos', '4 Suítes', '3 Vagas']",10.971
"SQNW 306 Bloco H, NOROESTE, BRASILIA",2.590.393,"['Venda Apartamento 194 m²', '4 Quartos', '4 Suítes', '5 Vagas']",13.295
"SGAS 902 Asa Sul, Brasilia",110.000,"[' Lote 360 m²', 'Pronto Para Morar', '1 planta']",
"SQNW 111, NOROESTE, BRASILIA",3.731.117,"['Venda Apartamento 336 m²', '4 Quartos', '4 Suítes', '4 Vagas']",11.104
"SQNW 306 Bloco H, NOROESTE, BRASILIA",2.441.685,"['Venda Apartamento 194 m²', '4 Quartos', '4 Suítes', '4 Vagas']",12.549
"SQNW 106 Bloco J, NOROESTE, BRASILIA",2.017.350,"['Venda Apartamento 142 m²', '4 Quartos', '4 Suítes', '3 Vagas']",14.170
"Rua 25 Norte, Aguas Claras",A partir de 787.203,"[' Apartamento 88 a 142 m²', '3 quartos', 'Em Construção', '4 plantas']",
"SQNW 303 Bloco K, NOROESTE, BRASILIA",2.727.246,"['Venda Apartamento 196 m²', '4 Quartos', '4 Suítes', '4 Vagas']",13.913
"SQNW 303 Bloco K, NOROESTE, BRASILIA",2.752.692,"['Venda Apartamento 210 m²', '4 Quartos', '4 Suítes', '4 Vagas']",13.065
"Rua 1, VICENTE PIRES, VICENTE PIRES",1.300.000,"['Venda Casa Condominio 430 m²', '3 Quartos', '3 Suítes', '2 Vagas']",3.023
"QE 5 Guara I, Guara",A partir de 257.300,"[' Apartamento 31 a 39 m²', '1 a 2 quartos', 'Lançamento', '2 plantas']",
"QE 38 Conjunto G, GUARA II, GUARA",650.000,"['Venda Casa 270 m²', '3 Quartos', '2 Suítes', '3 Vagas']",2.407
"Rua 36, SUL, AGUAS CLARAS",1.033.000,"['Venda Apartamento 120 m²', '3 Quartos', '3 Suítes', '2 Vagas']",8.557
"Rua 9, SUL, AGUAS CLARAS",520.000,"['Venda Apartamento 70 m²', '3 Quartos', '1 Suíte', '1 Vaga']",7.428
"SQNW 111 Bloco G Noroeste, Brasilia",1.907.258,"[' Apartamento 152 m²', '4 quartos', 'Em Construção', '1 planta']",
"Quadra 101, NORTE, AGUAS CLARAS",1.452.654,"['Venda Apartamento 162 m²', '4 Quartos', '4 Suítes', '3 Vagas']",8.967
"Rua 36, SUL, AGUAS CLARAS",830.000,"['Venda Apartamento 93 m²', '3 Quartos', '3 Suítes', '2 Vagas']",8.924
"Rua 36, SUL, AGUAS CLARAS",830.000,"['Venda Apartamento 93 m²', '3 Quartos', '3 Suítes', '2 Vagas']",8.882
"SQNW 310 Bloco D Noroeste, Brasilia",2.135.275,"[' Apartamento 157 m²', '3 quartos', 'Em Construção', '1 planta']",
"SGAN 915 Módulo G, ASA NORTE, BRASILIA",494.000,"['Venda Apartamento 42 m²', '1 Quarto', '1 Vaga']",11.761
"Quadra 604 Conjunto 1 B, RECANTO DAS EMAS, RECANTO DAS EMAS",130.000,"['Venda Casa Condominio 112 m²', '3 Quartos', '3 Vagas']",1.160
"SQNW 302 Bloco A, NOROESTE, BRASILIA",962.492,"['Venda Apartamento 64 m²', '2 Quartos', '1 Suíte', '2 Vagas']",15.038
"SQNW 302 Bloco F Noroeste, Brasilia",Sob Consulta,"[' Apartamento 185 a 325 m²', '4 quartos', 'Em Construção', '2 plantas']",
"CA 02, LAGO NORTE, BRASILIA",370.000,"['Venda Apartamento 38 m²', '2 Quartos', '1 Vaga']",9.736
"SQNW 306 Bloco H, NOROESTE, BRASILIA",2.767.725,"['Venda Apartamento 215 m²', '4 Quartos', '4 Suítes', '5 Vagas']",12.852
"SQNW 306 Bloco H, NOROESTE, BRASILIA",2.441.685,"['Venda Apartamento 194 m²', '4 Quartos', '4 Suítes', '5 Vagas']",12.538
"Quadra 101 Samambaia Sul, Samambaia",141.990,"[' Apartamento 33 m²', '1 quarto', 'Lançamento', '1 planta']",
"QNL 17 Conjunto I, TAGUATINGA NORTE, TAGUATINGA",480.000,"['Venda Casa 200 m²', '3 Quartos', '1 Suíte', '3 Vagas']",2.400
"QNP 19 Conjunto I, CEILANDIA NORTE, CEILANDIA",450.000,"['Venda Casa 190 m²', '4 Quartos', '2 Suítes', '2 Vagas']",2.368
"QNL 9 Conjunto B, TAGUATINGA NORTE, TAGUATINGA",485.000,"['Venda Casa 200 m²', '3 Quartos', '1 Suíte', '3 Vagas']",2.425
"SGAN 601 Módulo H Asa Norte, Brasilia",Sob Consulta,"[' Sala ', '0 plantas']",
"QSE 2, TAGUATINGA SUL, TAGUATINGA",750.000,"['Venda Casa 230 m²', '4 Quartos', '1 Suíte', '8 Vagas']",3.260
"QN 321 Conjunto E, SAMAMBAIA SUL, SAMAMBAIA",189.000,"['Venda Apartamento 59 m²', '2 Quartos', '1 Suíte', '1 Vaga']",3.203
"SIG Quadra 4, SIG, BRASILIA",35.000,['Venda Garagem 5 m²'],7.000
"SQNW 302 Bloco C Noroeste, Brasilia",2.062.131,"[' Apartamento 147 m²', '4 quartos', 'Lançamento', '1 planta']",
"DF 250 KM 8 CENTRO COMUNITARIO, SOBRADINHO, SOBRADINHO",2.290.000,"['Venda Rural 8,64 ha', '6 Quartos', '4 Suítes']",26
"SQN 315 Bloco A, ASA NORTE, BRASILIA",1.299.900,"['Venda Apartamento 119 m²', '3 Quartos', '1 Suíte', '1 Vaga']",10.923
"QRSW 2 Bloco B 13, SUDOESTE, BRASILIA",520.000,"['Venda Apartamento 62 m²', '2 Quartos']",8.387
"SQSW 500 Bloco R Sudoeste, Brasilia",Sob Consulta,"[' Apartamento 275 m²', '3 quartos', 'Lançamento', '1 planta']",
"QI 3 Bloco E, GUARA I, GUARA",400.000,"['Venda Apartamento 70 m²', '2 Quartos', '2 Vagas']",5.714
"SQNW 311 Bloco C, NOROESTE, BRASILIA",560.000,"['Venda Apartamento 36 m²', '1 Quarto', '1 Suíte', '1 Vaga']",15.555
"SQN 412, ASA NORTE, BRASILIA",649.000,"['Venda Apartamento 75 m²', '3 Quartos']",8.653
"SQNW 302 Noroeste, Brasilia",3.996.984,"[' Apartamento 293 m²', '4 quartos', 'Lançamento', '1 planta']",
"QR 321, SAMAMBAIA SUL, SAMAMBAIA",195.000,"['Venda Apartamento 60 m²', '2 Quartos', '1 Suíte', '1 Vaga']",3.250
"SQSW 302 Bloco C, SUDOESTE, BRASILIA",2.890.000,"['Venda Apartamento 308 m²', '4 Quartos', '4 Suítes', '4 Vagas']",9.383
"QE 3 Conjunto J, GUARA I, GUARA",879.000,"['Venda Casa 450 m²', '4 Quartos', '2 Suítes', '3 Vagas']",1.953
"SQSW 500 Bloco P Sudoeste, Brasilia",Sob Consulta,"[' Apartamento 472 m²', '4 quartos', 'Lançamento', '1 planta']",
"QI 16, GUARA I, GUARA",297.000,"['Venda Apartamento 61 m²', '2 Quartos', '1 Vaga']",4.868
"QNN 38 Conjunto B, CEILANDIA SUL, CEILANDIA",180.000,"['Venda Apartamento 50 m²', '2 Quartos', '1 Vaga']",3.600
"QI 11 Bloco E, GUARA I, GUARA",260.000,"['Venda Apartamento 43 m²', '2 Quartos', '1 Vaga']",6.046
"QE 5 Guara I, Guara",A partir de 241.032,"[' Apartamento 29 a 39 m²', '1 quarto', 'Na Planta', '3 plantas']",
"SHIGS 706 Bloco O, ASA SUL, BRASILIA",2.300.000,"['Venda Casa 480 m²', '5 Quartos', '4 Suítes', '2 Vagas']",4.791
"SQNW 307 Bloco H, NOROESTE, BRASILIA",1.000.000,"['Venda Apartamento 75 m²', '2 Quartos', '1 Suíte', '1 Vaga']",13.333
"SGAN 906, ASA NORTE, BRASILIA",205.000,"['Venda Kitnet 26 m²', '1 Quarto']",7.884
"SQSW 500 Bloco P Sudoeste, Brasilia",Sob Consulta,"[' Apartamento 238 m²', '4 quartos', 'Lançamento', '1 planta']",
"SAAN Quadra 4, SAAN, SETOR INDUSTRIAL",2.500.000,['Venda Lote/Terreno 2000 m²'],1.250
"SCRN 716 Bloco A, ASA NORTE, BRASILIA",335.000,"['Venda Apartamento 49 m²', '1 Quarto']",6.836
"SQNW 311 Bloco D, NOROESTE, BRASILIA",519.000,"['Venda Apartamento 34 m²', '1 Quarto', '1 Vaga']",15.264
"SQNW 303 Bloco A Noroeste, Brasilia",A partir de 1.047.661,"[' Apartamento 68 a 205 m²', '2 a 3 quartos', 'Em Construção', '7 plantas']",
"SQNW 310 Bloco I, NOROESTE, BRASILIA",3.050.000,"['Venda Apartamento 298 m²', '4 Quartos', '4 Suítes', '4 Vagas']",10.234
"SQNW 311 Bloco D, NOROESTE, BRASILIA",510.000,"['Venda Apartamento 33 m²', '1 Quarto', '1 Vaga']",15.454
"SMPW Quadra 11 Conjunto 3, PARK WAY, BRASILIA",3.300.000,"['Venda Casa 860 m²', '6 Quartos', '5 Suítes', '6 Vagas']",3.837
"SQN 114 Bloco C Asa Norte, Brasilia",A partir de 1.807.113,"[' Apartamento 127 a 250 m²', '3 quartos', 'Lançamento', '5 plantas']",
"CCSW 3, SUDOESTE, BRASILIA",2.980.000,"['Venda Apartamento 320 m²', '4 Quartos', '3 Suítes', '2 Vagas']",9.291
"QMSW 4, SUDOESTE, BRASILIA",220.000,"['Venda Kitnet 28 m²', '1 Quarto', '1 Suíte', '1 Vaga']",7.638
"QN 122 Conjunto 9, SAMAMBAIA SUL, SAMAMBAIA",180.000,"['Venda Apartamento 57 m²', '2 Quartos', '2 Vagas']",3.130
"SQNW 103 Bloco C Noroeste, Brasilia",A partir de 3.624.430,"[' Apartamento 262 m²', '4 quartos', 'Em Construção', '2 plantas']",
